Sex,School Code,Playing Years,Playing Often,Playing Hours,Playing Games,Parent Revenue,Father Education,Mother Education,Grade
0,4,0,0,0,0,2,5,4,77
1,4,2,3,2,1,3,4,4,71
0,4,0,0,0,0,2,4,3,75
0,4,0,0,0,0,4,6,6,90
1,4,3,3,3,1,2,3,3,65
1,4,1,3,2,1,2,4,3,65
1,5,4,1,3,1,3,5,4,100
0,5,2,5,2,1,4,5,3,100
1,5,2,4,2,1,3,4,2,100
1,5,2,4,3,1,4,2,4,100
1,5,3,4,1,1,2,4,4,90.5
0,5,0,0,0,0,3,3,4,100
1,5,4,1,5,1,1,4,3,80
1,5,2,1,2,1,2,5,3,85
0,5,1,5,1,1,4,6,6,100
0,5,1,3,1,1,3,5,3,100
0,5,2,3,3,1,4,4,4,100
1,5,2,5,3,1,3,4,3,85
1,5,3,4,1,1,4,4,4,90
1,5,0,0,0,0,3,4,5,85
1,5,4,1,4,1,3,4,4,100
0,5,4,2,3,1,4,5,3,80
0,5,0,0,0,0,4,4,4,90
0,5,3,3,2,1,2,3,3,100
0,5,1,2,1,1,3,4,4,96.5
0,5,2,4,3,1,3,4,4,85
0,5,0,0,0,0,2,5,4,100
0,5,0,0,0,0,2,4,4,100
1,5,0,0,0,0,3,6,5,98
0,5,3,5,2,1,4,6,5,100
1,5,3,1,4,1,2,4,3,92
1,5,4,4,2,1,2,5,4,90
0,5,3,3,1,1,3,4,4,85
0,5,1,5,2,1,4,5,4,85
0,5,0,0,0,0,2,5,4,100
1,5,1,3,2,1,2,5,5,72.5
1,5,3,3,2,1,4,4,4,85
0,6,1,5,2,1,4,4,4,100
1,6,2,1,2,1,4,5,5,100
1,6,1,4,1,1,4,2,2,100
1,6,4,5,5,1,4,3,3,85
1,6,0,0,0,0,3,2,4,100
0,6,2,3,1,1,2,3,3,75
1,6,2,5,2,1,4,2,2,100
1,6,3,5,3,1,4,0,6,100
1,6,4,1,4,1,1,4,4,100
0,6,0,0,0,0,3,4,5,100
1,6,4,3,3,1,4,6,4,100
1,6,3,2,3,1,3,6,6,100
1,6,4,5,5,1,4,4,4,70
1,6,3,5,2,1,3,6,5,100
1,6,0,0,0,0,3,5,3,100
0,6,0,0,0,0,3,5,4,100
1,6,3,2,2,1,4,6,6,100
1,6,1,5,2,1,4,6,5,100
1,6,3,1,3,1,3,5,5,100
0,6,0,0,0,0,4,6,5,90
1,6,3,5,2,1,2,4,4,100
0,7,0,0,0,0,0,4,4,95
1,7,1,2,1,1,0,5,3,100
0,7,3,2,1,1,0,5,5,100
0,7,3,2,2,1,0,4,3,85
1,7,2,5,1,1,0,4,5,90
0,7,0,0,0,0,0,4,4,100
0,7,0,0,0,0,0,5,4,90
1,7,0,0,0,0,0,5,5,100
1,7,1,5,1,1,0,5,5,100
1,7,1,5,1,1,0,4,4,86
0,7,3,2,1,1,0,5,5,90
1,7,3,5,3,1,0,3,3,90
1,7,3,5,1,1,0,5,5,100
1,7,3,4,3,1,0,5,5,100
0,7,1,2,2,1,0,4,4,95
1,7,2,2,1,1,0,5,5,100
1,7,3,2,3,1,0,3,3,100
0,7,0,0,0,0,0,5,4,100
0,7,0,0,0,0,0,6,6,100
0,7,2,5,3,1,0,4,5,100
1,7,1,4,1,1,0,6,6,100
1,7,2,3,2,1,0,5,4,90
1,7,2,4,3,1,0,5,5,100
1,7,2,3,3,1,0,4,2,85
1,7,1,4,1,1,0,5,5,100
0,7,0,0,0,0,0,4,4,100
1,7,1,5,1,1,0,3,2,100
0,7,0,0,0,0,0,5,6,100
0,7,0,0,0,0,0,5,5,100
1,7,0,0,0,0,0,4,3,95
1,7,4,5,3,1,0,4,4,100
1,7,1,3,1,1,0,2,2,100
0,7,4,5,1,1,0,5,5,100
1,7,0,0,0,0,0,4,5,98
1,7,1,5,1,1,0,4,4,97
0,7,0,0,0,0,0,5,5,100
1,7,1,4,2,1,0,4,4,100
0,7,0,0,0,0,0,6,6,100
0,7,0,0,0,0,0,5,5,90
1,7,4,5,3,1,0,4,4,97
0,7,0,0,0,0,0,5,3,97
1,8,0,0,0,0,1,3,3,75
1,8,1,1,1,1,2,4,3,65
0,8,1,5,1,1,1,4,2,56
1,8,3,4,3,1,2,3,2,50
1,8,3,2,2,1,3,3,3,72
0,8,2,5,2,1,2,4,3,87
1,8,0,0,0,0,3,4,4,67.5
0,8,0,0,0,0,3,4,4,80
0,8,0,0,0,0,2,2,2,80
1,8,1,3,1,1,2,5,3,85
0,8,0,0,0,0,2,2,2,95
1,8,1,4,2,1,1,3,1,60
1,8,0,0,0,0,1,3,3,90
0,8,0,0,0,0,2,4,4,100
0,8,4,1,1,1,1,4,4,90
0,8,0,0,0,0,2,4,4,75
1,8,0,0,0,0,3,3,4,87.5
0,8,2,4,2,1,2,4,3,95
0,8,0,0,0,0,1,4,2,87.5
0,8,0,0,0,0,1,3,2,90
0,8,0,0,0,0,1,5,2,90
0,8,0,0,0,0,1,4,4,83
1,8,3,3,3,1,2,4,2,85
1,8,0,0,0,0,2,4,2,77.5
1,8,2,3,2,1,2,2,2,65
1,8,0,0,0,0,2,5,3,95
1,8,1,3,1,1,1,3,3,75
1,8,2,2,2,1,3,4,2,75
0,8,0,0,0,0,2,3,2,95
1,8,2,3,1,1,2,3,5,82.5
1,8,2,4,1,1,2,2,3,60
1,8,2,5,4,2,1,3,2,40
0,8,0,0,0,0,2,4,4,65
1,8,3,5,1,1,2,4,4,78
0,8,2,4,3,1,2,4,4,75
0,8,0,0,0,0,2,4,2,85.5
0,8,2,3,1,1,2,4,4,70
1,8,4,3,3,1,2,4,2,80
0,8,2,3,3,1,2,2,2,65
1,8,1,4,2,1,3,4,2,67
1,8,2,2,2,1,3,5,5,50
1,8,1,2,2,1,1,3,2,50
1,8,2,5,1,1,1,2,2,33
1,8,1,4,1,1,1,5,3,90
1,8,3,5,2,1,1,4,2,85.3
0,8,1,1,1,1,2,4,2,52
0,8,0,0,0,0,2,4,3,53
0,8,1,4,1,1,2,4,4,70
0,8,0,0,0,0,2,4,4,70.5
1,8,1,4,2,1,2,4,3,70
1,8,1,5,2,1,4,2,1,49.53
1,8,1,2,2,1,2,4,4,68
1,8,2,1,2,1,2,4,4,50
0,8,0,0,0,0,2,2,2,80.5
1,8,2,3,2,1,2,2,2,72.1
1,8,2,3,3,1,1,2,3,40
1,8,2,2,1,1,2,3,3,80.33
0,8,2,3,3,1,2,0,3,90
1,8,3,1,3,1,2,4,4,92.5
0,8,1,5,1,1,2,4,3,92.5
1,8,3,1,4,1,4,5,4,60
1,8,2,5,3,1,3,4,5,56.5
1,8,4,2,4,1,2,4,4,95
0,8,0,0,0,0,1,4,2,92
0,8,0,0,0,0,2,3,4,75
1,8,2,3,2,1,2,2,3,65
1,8,1,5,1,1,1,2,1,80
0,8,3,5,1,1,1,4,2,90
0,8,0,0,0,0,1,3,4,95
1,8,0,0,0,0,1,4,2,80
0,8,2,5,1,1,2,3,1,70
1,8,2,3,2,1,1,3,3,55
0,8,1,5,1,1,1,4,3,72.5
1,8,1,1,4,1,1,3,3,55
0,8,0,0,0,0,1,4,4,96
0,8,0,0,0,0,2,4,4,72
0,8,0,0,0,0,2,3,2,80
0,8,3,2,1,1,3,5,4,80
0,8,2,5,1,1,2,4,6,100
0,8,0,0,0,0,1,2,2,75
1,8,0,0,0,0,3,3,4,94.5
1,8,0,0,0,0,1,3,1,60
0,8,0,0,0,0,1,2,4,90
0,8,0,0,0,0,1,3,2,50
1,8,0,0,0,0,1,3,4,75
1,8,0,0,0,0,1,2,2,60
1,8,0,0,0,0,2,3,4,80
1,8,0,0,0,0,2,4,2,50
0,8,0,0,0,0,1,5,2,85
0,8,0,0,0,0,2,2,4,89
0,8,0,0,0,0,2,3,2,85
0,8,1,5,1,1,1,3,2,80
0,8,0,0,0,0,2,3,3,95
1,8,1,1,1,1,4,4,4,70
0,8,3,1,3,1,3,2,3,65
0,8,0,0,0,0,1,3,2,45
1,8,0,0,0,0,2,4,5,60
1,8,3,4,4,1,1,2,3,85
0,8,0,0,0,0,3,3,3,75.6
1,8,2,1,3,1,3,5,5,79.8
1,8,2,5,2,1,2,2,4,70
0,8,0,0,0,0,1,2,2,88
1,8,0,0,0,0,2,2,2,74
1,8,2,5,1,1,3,4,4,80
0,8,2,3,2,1,2,3,2,60
0,8,0,0,0,0,1,1,1,75
0,8,0,0,0,0,1,3,4,85
1,8,3,1,3,1,2,5,5,79
1,8,3,1,4,1,2,6,4,90
0,8,2,4,3,1,2,4,3,87
1,8,1,1,1,1,1,5,2,55
0,8,0,0,0,0,3,3,4,98
1,8,1,4,1,1,2,5,4,80
1,8,0,0,0,0,1,4,2,67
1,8,2,1,4,1,2,4,3,75
1,8,1,1,1,1,2,2,3,75
1,8,3,3,2,1,1,2,3,90
0,8,2,2,2,1,2,4,3,67.5
1,9,0,0,0,0,0,4,3,100
0,9,0,0,0,0,0,4,4,80
1,9,0,0,0,0,0,6,6,100
0,9,1,5,1,1,0,4,3,100
0,9,0,0,0,0,0,6,6,100
0,9,0,0,0,0,0,5,3,85
0,9,0,0,0,0,0,5,6,100
0,9,0,0,0,0,0,5,5,100
0,9,0,0,0,0,0,5,5,100
1,9,4,5,3,1,0,5,5,100
1,9,2,4,2,1,0,5,5,90
0,9,2,4,2,1,0,5,5,100
0,9,0,0,0,0,0,4,3,100
0,9,0,0,0,0,0,5,3,100
0,9,0,0,0,0,0,6,6,100
0,9,0,0,0,0,0,5,6,100
0,9,0,0,0,0,0,6,6,100
0,9,0,0,0,0,0,5,5,100
0,9,2,5,2,1,0,6,6,100
0,9,0,0,0,0,0,5,5,85
1,9,3,5,1,1,0,5,5,100
1,9,4,4,3,1,0,5,5,100
1,9,2,5,1,1,0,5,4,80
1,9,4,2,2,1,0,6,5,100
1,9,0,0,0,0,0,3,3,100
0,9,0,0,0,0,0,3,4,100
1,9,1,4,1,1,0,5,5,100
0,9,0,0,0,0,0,5,5,90
0,9,1,5,1,1,0,4,4,100
0,9,0,0,0,0,0,5,5,100
0,9,2,2,1,1,0,5,4,80
0,9,1,1,1,1,0,5,5,100
1,9,4,1,2,1,0,3,3,60
1,9,1,3,1,1,0,4,4,100
0,9,2,5,1,1,0,3,3,60
0,9,0,0,0,0,0,4,4,100
0,9,0,0,0,0,0,5,4,100
0,9,3,4,1,1,0,5,5,100
0,9,0,0,0,0,0,4,4,100
1,9,3,5,3,1,0,5,5,85
1,9,3,1,2,1,0,5,5,70
1,9,1,1,4,1,0,5,5,100
0,9,0,0,0,0,0,4,4,100
1,9,2,3,2,1,0,6,6,98.5
0,9,0,0,0,0,0,4,4,100
1,9,0,0,0,0,0,5,5,100
1,9,4,1,2,1,0,5,4,100
1,9,4,5,5,1,0,5,6,100
0,10,0,0,0,0,2,4,4,80
0,10,0,0,0,0,2,4,3,84
0,10,0,0,0,0,1,4,4,95.33
0,10,4,3,1,1,2,4,2,87
0,10,1,5,1,1,4,4,2,90
0,10,1,5,1,1,1,3,4,45
0,10,0,0,0,0,2,4,2,90
0,10,4,3,1,1,1,3,4,65
0,10,0,0,0,0,2,5,2,100
0,10,1,5,1,1,3,6,5,98
0,10,0,0,0,0,1,3,1,63
0,10,1,3,1,1,2,3,3,70
0,10,0,0,0,0,2,3,4,75
0,10,0,0,0,0,4,4,5,80
0,10,0,0,0,0,3,3,3,62
0,10,0,0,0,0,3,4,2,80
0,10,0,0,0,0,2,4,4,67
1,10,2,5,2,1,4,3,3,72.5
1,10,0,0,0,0,1,2,3,46.5
1,10,3,5,3,1,1,3,4,80
1,10,3,3,3,1,3,5,5,90
1,10,3,5,5,1,3,5,4,90
1,10,4,1,2,1,3,4,2,63
1,10,3,4,1,1,3,3,3,70
1,10,3,5,2,1,1,4,3,77
1,10,3,4,3,1,2,3,4,96
1,10,1,2,3,1,2,5,4,70
1,10,2,3,1,1,2,5,5,62
1,10,4,4,3,1,1,5,2,50
1,10,4,3,2,1,3,5,5,76
0,10,0,0,0,0,1,3,3,91
1,10,2,2,2,1,2,4,2,92
1,11,1,5,1,1,1,2,4,75
1,11,2,5,3,1,2,1,2,95.5
0,11,1,4,1,1,3,4,2,50
0,11,1,5,1,1,1,2,2,75.5
0,11,4,1,2,1,2,4,4,80
0,11,2,4,1,1,2,4,3,80
0,11,1,5,2,1,2,4,4,85
1,11,4,1,1,1,1,2,2,65
1,11,4,1,3,1,3,4,5,90
0,11,0,0,0,0,2,3,1,70
0,11,0,0,0,0,3,3,2,90
1,11,4,1,3,1,2,4,3,85
0,11,4,1,5,1,2,2,2,80
0,11,3,3,2,1,1,2,3,85
0,11,3,3,2,1,2,4,2,85
0,11,1,3,1,1,1,2,4,65
1,11,4,1,2,1,1,3,2,65
0,11,4,1,4,1,1,2,2,60.5
1,11,2,1,2,1,2,3,3,63
1,11,4,1,3,1,2,3,2,55
1,8,4,1,5,1,1,2,3,66
1,8,1,4,1,1,2,4,4,85
1,8,1,3,2,1,2,3,4,97
0,8,2,2,1,1,3,3,4,85
1,8,0,0,0,0,2,3,4,82.2
0,8,0,0,0,0,3,5,3,75
0,8,1,5,1,1,1,5,2,81
0,8,4,1,2,1,3,3,4,83.5
1,8,4,1,2,1,4,3,3,70
1,8,2,4,2,1,2,3,1,80
0,8,0,0,0,0,3,4,4,65
1,8,4,1,3,1,2,4,3,75
0,8,0,0,0,0,2,3,3,75
0,8,2,4,1,1,2,4,4,65
1,4,2,5,1,1,2,4,3,60
0,4,1,4,2,1,1,2,2,60.5
0,4,4,4,2,1,2,3,3,55.3
1,4,4,5,3,1,3,6,4,70
1,4,3,4,3,1,1,3,3,55
1,4,4,3,4,1,2,3,2,70
1,4,3,1,4,1,3,3,4,60
0,4,1,5,2,1,2,2,2,60
1,4,4,2,5,1,4,4,4,60
1,4,0,0,0,0,2,2,2,70
1,4,4,2,5,1,2,4,5,60
0,4,3,5,1,1,1,4,4,55.5
0,4,0,0,0,0,2,4,4,70
0,4,4,5,3,1,2,6,4,65
1,4,2,4,1,1,2,4,3,78
0,4,4,1,2,1,1,4,4,61
0,4,0,0,0,0,2,5,5,70.5
0,4,0,0,0,0,2,5,4,72
0,4,1,1,1,1,2,6,3,92.5
1,4,2,5,1,1,1,3,4,65
1,4,1,1,3,1,3,6,4,64
0,4,0,0,0,0,1,5,3,85
1,4,1,5,2,1,3,6,5,79
0,4,0,0,0,0,1,4,2,86
1,8,1,1,5,1,2,2,4,88
1,8,4,1,2,1,4,3,4,70
1,8,3,1,4,1,2,2,2,89
0,8,0,0,0,0,1,4,3,90
1,8,4,1,5,1,1,2,2,70
1,8,4,3,3,1,2,3,3,75
0,8,0,0,0,0,2,3,3,75
1,8,3,4,3,1,1,4,4,40
1,2,2,1,3,1,1,2,1,55
1,2,0,0,0,0,1,2,1,45
1,2,1,4,1,1,2,4,3,87
1,2,4,1,5,1,2,4,3,82
0,5,1,5,2,1,3,4,3,100
1,5,4,2,1,1,2,4,4,100
0,5,0,0,0,0,0,0,0,100
1,1,0,0,0,0,3,5,4,60
1,1,0,0,0,0,2,3,2,64.75
1,1,2,2,5,1,2,2,1,50
0,2,1,4,1,1,1,4,4,70
0,2,2,5,4,1,2,4,3,45.5
0,2,3,3,3,1,2,2,2,57
1,2,1,3,3,1,2,4,2,89
1,2,3,3,3,1,1,4,2,50
0,2,0,0,0,0,2,3,3,94
1,2,1,4,2,1,2,3,4,85
1,2,1,2,4,1,1,3,3,67.5
1,9,2,5,1,1,2,5,5,100
0,4,2,1,3,1,4,5,4,75
0,4,2,1,3,1,2,4,4,77
0,9,2,5,2,1,0,5,5,100
